시간,농도,위도,경도,번호,,,,,,,,,,
16:31:07,15.9,35.2275,126.8477778,1,,,,,,,,,35? 13' 39'' N,126? 50' 52'' E
15:59:18,21.3,35.22777778,126.8477778,2,,,,,,,,,35? 13' 40'' N,126? 50' 52'' E
16:03:13,17.7,35.22777778,126.8475,3,,,,,,,,,35? 13' 40'' N,126? 50' 51'' E
16:05:12,17.4,35.22805556,126.8475,4,,,,,,,,,35? 13' 41'' N,126? 50' 51'' E
16:07:02,16.2,35.22805556,126.8477778,5,,,,,,,,,35? 13' 41'' N,126? 50' 52'' E
16:09:02,15.7,35.22805556,126.8480556,6,,,,,,,,,35? 13' 41'' N,126? 50' 53'' E
16:10:53,16.4,35.22833333,126.8483333,7,,,,,,,,,35? 13' 42'' N,126? 50' 54'' E
16:12:43,15,35.22805556,126.8486111,8,,,,,,,,,35? 13' 41'' N,126? 50' 55'' E
16:14:43,15.5,35.22805556,126.8488889,9,,,,,,,,,35? 13' 41'' N,126? 50' 56'' E
16:16:43,15.3,35.22777778,126.8491667,10,,,,,,,,,35? 13' 40'' N,126? 50' 57'' E
16:18:33,17.2,35.2275,126.8494444,11,,,,,,,,,35? 13' 39'' N,126? 50' 58'' E
16:21:32,19.7,35.22833333,126.8488889,12,,,,,,,,,35? 13' 42'' N,126? 50' 56'' E
16:24:57,13.3,35.22861111,126.8480556,13,,,,,,,,,35? 13' 43'' N,126? 50' 53'' E
16:27:27,15.5,35.22833333,126.8475,14,,,,,,,,,35? 13' 42'' N,126? 50' 51'' E
