시간,농도,위도,경도,번호
16:31:07,12.3,35.2275,126.8477778,1
15:59:18,16.3,35.22777778,126.8477778,2
16:03:13,13.1,35.22777778,126.8475,3
16:05:12,13.2,35.22805556,126.8475,4
16:07:02,11.9,35.22805556,126.8477778,5
16:09:02,11.7,35.22805556,126.8480556,6
16:10:53,11.6,35.22833333,126.8483333,7
16:12:43,10.7,35.22805556,126.8486111,8
16:14:43,10.6,35.22805556,126.8488889,9
16:16:43,11.5,35.22777778,126.8491667,10
16:18:33,11.9,35.2275,126.8494444,11
16:21:32,12.8,35.22833333,126.8488889,12
16:24:57,9.5,35.22861111,126.8480556,13
16:27:27,11.5,35.22833333,126.8475,14
